English,Fula
hello,njaaraama
thank you,jarama
water,ndiyam
tomorrow,jango
okay,awa
going,yahugul
where,honto
returning,artugol
when,honde tuma
going,yahugol
where,honto
returning,artugol
when,honde tuma
buying,soodugol
what,hondun
eating,paamugol
town, city,saare
towards, about,telen-ma
oil,nebban
rice,maaro
I,mi
peanuts,tiga
see,ko
tomatoes,tamaati
location marker,ka
bananas,banaana
and, time marker,e
coming,arugol
potatoes,pompiteeri
meat,teewu
bread,bireedi
sugar,sukkar
tea,dute
coffee,kafe
milk,bira, biraadan
small tin,pootihun
powder,condi
bottle,binniri
evil,tanaa
only,tun
there,ton
peace,jam
here,gaa
morning,bimbi
today,hande
tomorrow,jango
yesterday,hanki
evening,kiikilde
night,jemma
till tomorrow,hiden jango
till morning,hiden bimbi
sleep well,waalen e jam
sleep well [polite],beloden e jam
what do you want?,ko hondun faaladaa?
I want a small tin of milk,ko pootihun bira mi faalaa
powder or “gloria”?,condi kaa gloriya?
I want powder,ko condi mi faalaa
have an argument/break off a relationship,habugol
be fed up (have too much of),haabugol
tie,hafobugol
teacher,karamokoojo
house,suudu
compound,galle
school,lekkol
next to, near,takko
very,fota
run,dogugol
drive (a car),dogingol
get in (to a vehicle),bakagol
go up,yawugol
help,wallugol
help me!,wallan!
get down,tippagol/cippagol/jippagol
how much do you want?,ko jelu faaladaa?
I want two kilos,ko kilo didi mi faalaa
is your family well?,feynguure mon nden no e jam?
are your children healthy?,faybe mon ben no selli?
what about your family and your wealth?,feynguure e jawle?
is everything safe?,kori no dadi?
I hope there was no misfortune,kori hinaa tanaa?
have you not been ill?,on nawnaali?
you didn’t get injured?,on barmaali?
is it better now?,hayfii jooni?
I hope it has improved,kori jaytii?
has he healed?,o sellii?
has he recovered?,o ndikkii?
it’s improved,jaytii
it is a lot better now,hayfii buy jooni
did you sleep well?,on bellke e jam?
let us sleep well!,beloden e jam!
did you get up well?,on baŋike?
have you not been ill?,on fooyaali?
go!,seenee!
arrive,hewtugol
hurry,hawjugol
sit,joodagol
be a long time,neebugol
be a week,yontugol
complete s/t,timmingol
be glad,weltagol
go,seenagol
go back,yiltagol
walk,seppugol
year,hitaande
lodging,werde
have, obtain,hebugol
yesterday,hanki
be a long time yet,siwaa
be pretty,fotugol
name, say,imugol
the other side,gada
over there, a long way away,gada too
see,yi’ugol
finish (an action),gaynugol
roof,pappugol
for, concerning, about,fi
someone,goddo
no (denial),o’owoye
owner,jom
money,kaalisi
right at the moment,fewndo doo nii
to wash,lootugol
to wash oneself,lootagol
to be washed,lootegol
to close,shut,ombugol
to receive,hendagol
to refuse,salagol
to ask,landagol
to inform,yectagol
to greet,hiwragol
to listen,hedagol
to stand, stop(oneself),daragol
to have,hold,jogagol
to hear,nanugol
to go,yahugol
to eat,paamugol
to lend/borrow,lubugol/lubagol
to lend/borrow money,nawlugol/nawlagol
to return/give back,yiltugol
to return/turn back,yiltagol
when,nde
town,saare
mosque,juulirde
last position,sakkitorde
one egg,woofoonde
one orange,leemunneere
one mango,mangoore
one potato,pompiteeriiire
rabbit,sariire
hare,sariire
hawk,segeleere
deer,jawre
eagle,simbiire
chant,beytoore
bad deed,bonnere
lie,fenaande
bad manners,bevre
naïvité,dayre
confidence,hoolaare
darkness,nivre
allow,accugol
offense,hakkee
take (along),nabugol
help,wallugol
second,dîmmun
goat,mbeewa
cooked grain,piiri
road,laawol
forget,yeijitugol
look,ndaarugol
give gift,neldugol
praise,jaarugol
thank,jaarugol
watch,reenugol
guard,reenugol
wait,habbagol
be glad,weltagol
want,faalegol
go home,hootugol
be thirsty,dondegol
give,okkugol
give some of,okkorgol
drink,yarugol
ask (a question),landagol
be,woodugol
exist,woodugol
be dirty,tuunugol
make dirty,tuuningol
draw water,yoogugol
water,ndiyan
well,woyndu
there,don
day time,nalorma
each,kala
all the time,soono woo soono
work,gollugol
morning,bimbi
sweat,lakkegol
think,sikkugol
believe,fellitugol
pass,feyyugol
cultivate,remugol
farm,remugol
till,remugol
pass (by),rewugol
sun,naange
underneath,ley
patch,tumbere
field,ngesa
between now and,doo e
early,law
since,gila
emphasiser,dey
put something over something else,hippugol
study,jangugol
be learned,jangugol
eat an evening meal,hirtagol
be hungry,weelegol
guest,kodo
sauce,maafe
leaf,haako
meat and potato stew,maafe suppu
ceremony,haaju
younger sibling,mipan
speak,haalugol
keep,marugol
have,marugol
return,artirgol
just now,naanen
help me!,wallan!
go to fetch him!,yahan mo!
position it behind!,yo wontir ßaawo!
it’s good for you,no moy’yan-maa
go slowly!,yaaru doy!
take it over by the house!,nawru ka suudu!
I won’t go and get him,mi yahantaa mo
when will you speak to him,ko honde tuma haalanton mo
I won’t sit down over there,mi joodortaa ton
I sat down/waited for him,mi joodanike mo
they say that they will go,woo, ße yahay
it is said that they will go,woo, ße yahay
someone(else) says that I will/should go,woo, mi yahay
it won’t work out!,gasataal
it won’t be possible!,gasataal
probably...,no gasa...
It’s finished (well)! OK!,gasii!
it’s pretty, it’s good, it’s great, it’s perfect!,no gasi
I will be able to go, I might be able to go,mi gasay yaade
it is probable that he will go,no gasa ka o yaha
it’s good for me to come,no moy’yi ka mi ara
you ought not to go, it’s not right for you to go,haanaa ka yahaa
he has probably come,no gasa o arii
farming went well for me this year,fun bonirii lan
it went bad on me,hikka remuruuji din moyyīrii lan
I lost my key,saabi an on majjirii lan
what I did that for was...,ko mi wadani dun ko...
the reason I did that was...,ko mi wadiri dun ko...
what did you do that for?,ko wadandaa dun?
why did you do that?,ko wadirdaa dun?
go and buy things for the sauce!,soodoy maafeeji!
I went and bought things for the sauce,ko maafeeji soodoymi
go and buy onions for me!,soodanoyan basalle!
she went and bought carrots for you,o soodanoy-maa karooti
they talked together,be yewtidi
